added_route_id,trip_id
742,38184593
741,38184887
742,38184887
741,38185225
742,38185225
741,38185228
742,38185228
741,38185229
742,38185229
741,38185232
742,38185232
741,38185233
742,38185233
741,38185243
742,38185243
741,38185304
742,38185304
741,38185327
742,38185327
741,38185340
742,38185340
741,38185343
742,38185343
741,38185347
742,38185347
741,38185366
742,38185366
741,38185388
742,38185388
741,38185407
742,38185407
741,38185423
742,38185423
741,38185441
742,38185441
741,38185453
742,38185453
741,38185467
742,38185467
741,38185483
742,38185483
741,38185497
742,38185497
741,38185522
742,38185522
741,38185760
742,38185760
741,38186223
742,38186223
741,38186541
742,38186541
741,38186705
742,38186705
741,38186706
742,38186706
741,38186707
742,38186707
741,38186708
742,38186708
741,38186709
742,38186709
741,38186710
742,38186710
741,38186711
742,38186711
741,38186712
742,38186712
741,38186713
742,38186713
741,38186714
742,38186714
741,38186715
742,38186715
741,38186716
742,38186716
741,38186717
742,38186717
741,38186718
742,38186718
741,38186719
742,38186719
741,38186720
742,38186720
741,38186721
742,38186721
741,38186901
742,38186901
741,38186904
742,38186904
741,38186906
742,38186906
741,38186908
742,38186908
741,38186909
742,38186909
741,38186944
742,38186944
741,38186946
742,38186946
741,38186947
742,38186947
741,38186950
742,38186950
741,38186951
742,38186951
741,38186954
742,38186954
741,38186956
742,38186956
741,38186985
742,38186985
741,38187036
742,38187036
741,38187064
742,38187064
741,38187092
742,38187092
741,38187160
742,38187160
741,38187242
742,38187242
741,38187243
742,38187243
741,38187246
742,38187246
741,38187247
742,38187247
741,38187248
742,38187248
741,38187250
742,38187250
741,38191251
742,38191251
741,38191252
742,38191252
741,38191253
742,38191253
741,38191643
742,38191643
741,38191914
742,38191914
741,38191915
742,38191915
741,38191916
742,38191916
741,38191917
742,38191917
741,38191918
742,38191918
741,38191919
742,38191919
741,38191920
742,38191920
741,38191921
742,38191921
741,38191925
742,38191925
741,38191926
742,38191926
741,38191927
742,38191927
741,38191932
742,38191932
741,38191933
742,38191933
741,38191934
742,38191934
741,38191935
742,38191935
741,38191985
742,38191985
741,38192118
742,38192118
741,38192120
742,38192120
741,38192122
742,38192122
741,38192124
742,38192124
741,38192181
742,38192181
741,38192184
742,38192184
741,38192186
742,38192186
741,38192188
742,38192188
741,38192196
742,38192196
741,38192252
742,38192252
741,38192313
742,38192313
741,38192316
742,38192316
741,38192319
742,38192319
741,38192321
742,38192321
741,38192336
742,38192336
741,38192337
742,38192337
741,38192360
742,38192360
741,38192365
742,38192365
741,38192420
742,38192420
741,38192461
742,38192461
741,38192508
742,38192508
741,38192590
742,38192590
741,38192620
742,38192620
741,38192670
742,38192670
741,38192720
742,38192720
741,38167294
742,38167294
741,38167295
742,38167295
741,38167296
742,38167296
741,38167320
742,38167320
741,38167322
742,38167322
741,38167329
742,38167329
741,38167373
742,38167373
741,38167397
742,38167397
741,38167461
742,38167461
741,38167522
742,38167522
741,38167528
742,38167528
741,38167532
742,38167532
741,38167533
742,38167533
741,38167536
742,38167536
741,38167537
742,38167537
741,38167538
742,38167538
741,38167541
742,38167541
741,38167542
742,38167542
741,38167544
742,38167544
741,38167545
742,38167545
741,38167547
742,38167547
741,38167552
742,38167552
741,38167554
742,38167554
741,38167556
742,38167556
741,38167557
742,38167557
741,38167558
742,38167558
741,38167559
742,38167559
741,38167568
742,38167568
741,38167569
742,38167569
